SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014
040,28,000,00000,00000,00000,0,A,Mississippi,Mississippi,2967297,2968103,2970811,2978464,2986137,2992206,2994079
162,28,000,00100,00000,00000,0,A,Abbeville town,Mississippi,419,419,420,429,437,439,438
162,28,000,00180,00000,00000,0,A,Aberdeen city,Mississippi,5612,5612,5594,5535,5505,5458,5432
162,28,000,00300,00000,00000,0,A,Ackerman town,Mississippi,1510,1532,1533,1506,1497,1503,1484
162,28,000,00820,00000,00000,0,A,Algoma town,Mississippi,590,590,591,586,596,603,605
162,28,000,00940,00000,00000,0,A,Alligator town,Mississippi,208,208,208,206,206,204,202
162,28,000,01260,00000,00000,0,A,Amory city,Mississippi,7316,7316,7295,7224,7189,7132,7107
162,28,000,01500,00000,00000,0,A,Anguilla town,Mississippi,726,725,719,717,706,680,675
162,28,000,01820,00000,00000,0,A,Arcola town,Mississippi,361,368,368,363,359,366,362
162,28,000,02100,00000,00000,0,A,Artesia town,Mississippi,440,441,441,437,436,437,433
162,28,000,02140,00000,00000,0,A,Ashland town,Mississippi,569,569,567,566,562,556,543
162,28,000,02700,00000,00000,0,A,Baldwyn city,Mississippi,3297,3297,3290,3314,3330,3330,3334
162,28,000,03580,00000,00000,0,A,Bassfield town,Mississippi,254,244,243,238,236,233,231
162,28,000,03620,00000,00000,0,A,Batesville city,Mississippi,7463,7463,7459,7435,7431,7434,7439
162,28,000,03980,00000,00000,0,A,Bay St. Louis city,Mississippi,9260,9262,9329,9775,10260,10786,11388
162,28,000,04060,00000,00000,0,A,Bay Springs city,Mississippi,1786,1794,1786,1763,1734,1730,1743
162,28,000,04500,00000,00000,0,A,Beaumont town,Mississippi,951,951,947,947,934,935,941
162,28,000,04540,00000,00000,0,A,Beauregard village,Mississippi,326,332,332,330,327,327,327
162,28,000,05100,00000,00000,0,A,Belmont town,Mississippi,2021,2037,2036,2038,2039,2028,2024
162,28,000,05140,00000,00000,0,A,Belzoni city,Mississippi,2235,2235,2226,2227,2200,2131,2088
162,28,000,05220,00000,00000,0,A,Benoit town,Mississippi,477,480,479,476,475,472,465
162,28,000,05380,00000,00000,0,A,Bentonia town,Mississippi,440,440,439,438,436,432,429
162,28,000,05820,00000,00000,0,A,Beulah town,Mississippi,348,348,348,345,344,342,337
162,28,000,06060,00000,00000,0,A,Big Creek village,Mississippi,154,154,154,153,153,152,152
162,28,000,06220,00000,00000,0,A,Biloxi city,Mississippi,44054,44054,44098,44250,44515,44735,44984
162,28,000,07060,00000,00000,0,A,Blue Mountain town,Mississippi,920,920,918,929,899,919,918
162,28,000,07100,00000,00000,0,A,Blue Springs village,Mississippi,228,228,228,230,229,230,231
162,28,000,07540,00000,00000,0,A,Bolton town,Mississippi,567,567,568,571,567,559,554
162,28,000,07780,00000,00000,0,A,Booneville city,Mississippi,8743,8743,8724,8776,8717,8804,8804
162,28,000,08180,00000,00000,0,A,Boyle town,Mississippi,650,650,649,645,646,641,633
162,28,000,08300,00000,00000,0,A,Brandon city,Mississippi,21705,22066,22116,22340,22629,22873,23156
162,28,000,08460,00000,00000,0,A,Braxton village,Mississippi,183,183,183,182,182,183,183
162,28,000,08820,00000,00000,0,A,Brookhaven city,Mississippi,12513,12513,12518,12502,12497,12462,12470
162,28,000,08980,00000,00000,0,A,Brooksville town,Mississippi,1223,1223,1219,1201,1183,1171,1178
162,28,000,09180,00000,00000,0,A,Bruce town,Mississippi,1939,1939,1938,1933,1927,1914,1912
162,28,000,09460,00000,00000,0,A,Bude town,Mississippi,1063,1063,1062,1045,1032,1034,1025
162,28,000,09820,00000,00000,0,A,Burnsville town,Mississippi,936,936,936,935,935,929,926
162,28,000,10060,00000,00000,0,A,Byhalia town,Mississippi,1302,1298,1296,1298,1292,1290,1271
162,28,000,10140,00000,00000,0,A,Byram city,Mississippi,11489,11491,11504,11660,11709,11601,11556
162,28,000,10460,00000,00000,0,A,Caledonia town,Mississippi,1041,1041,1040,1033,1030,1030,1022
162,28,000,10580,00000,00000,0,A,Calhoun City town,Mississippi,1774,1774,1773,1772,1759,1746,1746
162,28,000,11100,00000,00000,0,A,Canton city,Mississippi,13189,13195,13210,13217,13228,13245,13713
162,28,000,11580,00000,00000,0,A,Carrollton town,Mississippi,190,190,190,188,186,185,183
162,28,000,11780,00000,00000,0,A,Carthage city,Mississippi,5075,5073,5067,5000,5014,4972,4956
162,28,000,11820,00000,00000,0,A,Cary town,Mississippi,313,311,309,309,303,293,290
162,28,000,12740,00000,00000,0,A,Centreville town,Mississippi,1684,1684,1680,1647,1623,1604,1578
162,28,000,12900,00000,00000,0,A,Charleston city,Mississippi,2193,2187,2180,2186,2154,2138,2087
162,28,000,13580,00000,00000,0,A,Chunky town,Mississippi,326,326,325,324,326,327,329
162,28,000,13820,00000,00000,0,A,Clarksdale city,Mississippi,17962,17960,17931,17757,17629,17263,17011
162,28,000,14260,00000,00000,0,A,Cleveland city,Mississippi,12334,12334,12321,12164,12317,12412,12412
162,28,000,14420,00000,00000,0,A,Clinton city,Mississippi,25216,25215,25278,25693,25556,25494,25411
162,28,000,14580,00000,00000,0,A,Coahoma town,Mississippi,377,377,376,373,371,364,359
162,28,000,14740,00000,00000,0,A,Coffeeville town,Mississippi,905,904,901,889,876,872,863
162,28,000,14900,00000,00000,0,A,Coldwater town,Mississippi,1677,1677,1682,1659,1642,1624,1606
162,28,000,15140,00000,00000,0,A,Collins city,Mississippi,2586,2586,2589,2582,2585,2569,2565
162,28,000,15340,00000,00000,0,A,Columbia city,Mississippi,6582,6582,6576,6502,6448,6392,6319
162,28,000,15380,00000,00000,0,A,Columbus city,Mississippi,23640,23640,23682,23554,23492,23456,23248
162,28,000,15500,00000,00000,0,A,Como town,Mississippi,1279,1279,1277,1269,1265,1261,1259
162,28,000,15700,00000,00000,0,A,Corinth city,Mississippi,14573,14573,14594,14818,14825,14867,14865
162,28,000,15980,00000,00000,0,A,Courtland town,Mississippi,511,511,510,515,515,514,514
162,28,000,16420,00000,00000,0,A,Crawford town,Mississippi,641,641,640,636,634,635,629
162,28,000,16460,00000,00000,0,A,Crenshaw town,Mississippi,885,888,886,879,873,872,868
162,28,000,16620,00000,00000,0,A,Crosby town,Mississippi,318,318,317,312,307,305,299
162,28,000,16940,00000,00000,0,A,Crowder town,Mississippi,712,713,710,700,688,689,681
162,28,000,16980,00000,00000,0,A,Cruger town,Mississippi,386,386,384,380,377,370,364
162,28,000,17060,00000,00000,0,A,Crystal Springs city,Mississippi,5044,5044,5033,5008,4962,4955,4958
162,28,000,18180,00000,00000,0,A,Decatur town,Mississippi,1841,1841,1838,1754,1775,1796,1804
162,28,000,18340,00000,00000,0,A,De Kalb town,Mississippi,1164,1154,1150,1118,1119,1108,1095
162,28,000,18940,00000,00000,0,A,Derma town,Mississippi,1025,1025,1025,1021,1017,1009,1009
162,28,000,19100,00000,00000,0,A,Diamondhead city,Mississippi,A,8378,8342,8327,8311,8240,8180
162,28,000,19180,00000,00000,0,A,D'Iberville city,Mississippi,9486,9486,9622,9896,9976,10388,10962
162,28,000,19340,00000,00000,0,A,D'Lo town,Mississippi,452,452,452,450,450,452,451
162,28,000,19420,00000,00000,0,A,Doddsville town,Mississippi,98,98,98,97,96,94,92
162,28,000,20020,00000,00000,0,A,Drew city,Mississippi,1927,1927,1924,1909,1880,1834,1801
162,28,000,20260,00000,00000,0,A,Duck Hill town,Mississippi,732,732,742,789,852,972,1092
162,28,000,20340,00000,00000,0,A,Dumas town,Mississippi,470,470,469,466,464,466,465
162,28,000,20380,00000,00000,0,A,Duncan town,Mississippi,423,423,423,420,419,417,414
162,28,000,20500,00000,00000,0,A,Durant city,Mississippi,2673,2673,2660,2627,2603,2555,2510
162,28,000,21340,00000,00000,0,A,Ecru town,Mississippi,895,895,899,893,911,942,969
162,28,000,21420,00000,00000,0,A,Eden village,Mississippi,103,103,103,102,102,101,100
162,28,000,21580,00000,00000,0,A,Edwards town,Mississippi,1034,1039,1043,1055,1050,1035,1028
162,28,000,22020,00000,00000,0,A,Ellisville city,Mississippi,4448,4445,4462,4561,4487,4616,4577
162,28,000,22580,00000,00000,0,A,Enterprise town,Mississippi,526,526,525,526,519,515,513
162,28,000,23220,00000,00000,0,A,Ethel town,Mississippi,418,418,418,413,409,413,410
162,28,000,23420,00000,00000,0,A,Eupora city,Mississippi,2197,2194,2200,2166,2148,2123,2128
162,28,000,24180,00000,00000,0,A,Falcon town,Mississippi,167,167,166,163,158,158,155
162,28,000,24220,00000,00000,0,A,Falkner town,Mississippi,514,514,513,510,508,510,508
162,28,000,24420,00000,00000,0,A,Farmington town,Mississippi,2186,2186,2189,2186,2180,2190,2192
162,28,000,24500,00000,00000,0,A,Fayette city,Mississippi,1614,1591,1586,1564,1621,1622,1612
162,28,000,24940,00000,00000,0,A,Flora town,Mississippi,1886,1886,1889,1889,1896,1898,1888
162,28,000,24980,00000,00000,0,A,Florence city,Mississippi,4141,4138,4152,4211,4244,4265,4306
162,28,000,25100,00000,00000,0,A,Flowood city,Mississippi,7823,7836,7889,8049,8178,8368,8556
162,28,000,25340,00000,00000,0,A,Forest city,Mississippi,5684,5684,5701,5723,5711,5703,5744
162,28,000,26020,00000,00000,0,A,French Camp town,Mississippi,174,174,174,171,171,171,170
162,28,000,26060,00000,00000,0,A,Friars Point town,Mississippi,1200,1200,1198,1186,1176,1150,1132
162,28,000,26300,00000,00000,0,A,Fulton city,Mississippi,3961,3955,3955,3964,3970,4016,4030
162,28,000,26780,00000,00000,0,A,Gattman village,Mississippi,90,90,90,89,89,88,88
162,28,000,26860,00000,00000,0,A,Gautier city,Mississippi,18572,18572,18599,18603,18528,18529,18596
162,28,000,26980,00000,00000,0,A,Georgetown town,Mississippi,286,289,289,287,285,284,285
162,28,000,27540,00000,00000,0,A,Glen town,Mississippi,412,412,412,412,410,411,411
162,28,000,27660,00000,00000,0,A,Glendora village,Mississippi,151,151,150,151,147,147,143
162,28,000,27820,00000,00000,0,A,Gloster town,Mississippi,960,960,958,962,945,937,916
162,28,000,27940,00000,00000,0,A,Golden town,Mississippi,191,191,191,191,191,189,189
162,28,000,28220,00000,00000,0,A,Goodman town,Mississippi,1386,1386,1382,1365,1343,1348,1331
162,28,000,29180,00000,00000,0,A,Greenville city,Mississippi,34400,34403,34367,33913,33474,33135,32704
162,28,000,29340,00000,00000,0,A,Greenwood city,Mississippi,15205,16087,16089,15906,15845,15827,15730
162,28,000,29460,00000,00000,0,A,Grenada city,Mississippi,13092,13092,13069,12906,12922,12889,12956
162,28,000,29700,00000,00000,0,A,Gulfport city,Mississippi,67793,67786,67939,68887,69954,71139,71750
162,28,000,29900,00000,00000,0,A,Gunnison town,Mississippi,452,452,452,449,447,444,438
162,28,000,29940,00000,00000,0,A,Guntown town,Mississippi,2083,2083,2105,2222,2327,2415,2508
162,28,000,30980,00000,00000,0,A,Hatley town,Mississippi,482,482,481,476,474,471,469
162,28,000,31020,00000,00000,0,A,Hattiesburg city,Mississippi,45989,45767,45843,46402,46889,47065,47016
162,28,000,31220,00000,00000,0,A,Hazlehurst city,Mississippi,4009,4009,4006,3979,3940,3930,3934
162,28,000,31420,00000,00000,0,A,Heidelberg town,Mississippi,718,713,710,700,687,684,687
162,28,000,31780,00000,00000,0,A,Hernando city,Mississippi,14090,14060,14129,14420,14737,15009,15290
162,28,000,31980,00000,00000,0,A,Hickory town,Mississippi,530,530,529,527,529,531,534
162,28,000,32020,00000,00000,0,A,Hickory Flat town,Mississippi,601,601,599,597,591,580,565
162,28,000,32900,00000,00000,0,A,Hollandale city,Mississippi,2702,2704,2702,2684,2649,2620,2584
162,28,000,33100,00000,00000,0,A,Holly Springs city,Mississippi,7699,7699,7680,7590,7547,7534,7574
162,28,000,33700,00000,00000,0,A,Horn Lake city,Mississippi,26066,26068,26121,26325,26554,26630,26766
162,28,000,33900,00000,00000,0,A,Houston city,Mississippi,3623,3623,3623,3579,3562,3545,3543
162,28,000,34740,00000,00000,0,A,Indianola city,Mississippi,10683,10683,10665,10596,10510,10259,10078
162,28,000,35020,00000,00000,0,A,Inverness town,Mississippi,1019,1019,1018,1009,999,976,957
162,28,000,35220,00000,00000,0,A,Isola town,Mississippi,713,713,710,711,702,681,668
162,28,000,35260,00000,00000,0,A,Itta Bena city,Mississippi,2049,2048,2049,2022,2015,2012,1999
162,28,000,35300,00000,00000,0,A,Iuka city,Mississippi,3028,3028,3027,3024,3017,2994,2987
162,28,000,36000,00000,00000,0,A,Jackson city,Mississippi,173514,173593,173796,175448,175273,172806,171155
162,28,000,36800,00000,00000,0,A,Jonestown town,Mississippi,1298,1300,1298,1285,1274,1246,1226
162,28,000,37040,00000,00000,0,A,Jumpertown town,Mississippi,480,485,484,485,487,487,487
162,28,000,37560,00000,00000,0,A,Kilmichael town,Mississippi,699,699,697,681,660,649,629
162,28,000,38320,00000,00000,0,A,Kosciusko city,Mississippi,7402,7399,7395,7305,7230,7306,7237
162,28,000,38360,00000,00000,0,A,Kossuth village,Mississippi,209,209,209,209,208,209,209
162,28,000,38600,00000,00000,0,A,Lake town,Mississippi,324,324,325,324,323,324,326
162,28,000,39080,00000,00000,0,A,Lambert town,Mississippi,1638,1638,1628,1600,1551,1554,1524
162,28,000,39640,00000,00000,0,A,Laurel city,Mississippi,18540,18543,18572,18560,18798,18888,18868
162,28,000,39840,00000,00000,0,A,Leakesville town,Mississippi,898,898,898,894,889,881,887
162,28,000,39880,00000,00000,0,A,Learned town,Mississippi,94,94,94,97,97,96,95
162,28,000,40280,00000,00000,0,A,Leland city,Mississippi,4481,4481,4480,4424,4367,4321,4262
162,28,000,40360,00000,00000,0,A,Lena town,Mississippi,148,148,148,146,145,144,143
162,28,000,40600,00000,00000,0,A,Lexington city,Mississippi,1731,1731,1723,1705,1686,1652,1622
162,28,000,40640,00000,00000,0,A,Liberty town,Mississippi,728,725,724,725,714,709,694
162,28,000,41680,00000,00000,0,A,Long Beach city,Mississippi,14792,14792,14819,15168,15286,15366,15448
162,28,000,42200,00000,00000,0,A,Louin town,Mississippi,277,277,276,273,268,268,269
162,28,000,42240,00000,00000,0,A,Louise town,Mississippi,199,199,198,198,196,190,187
162,28,000,42280,00000,00000,0,A,Louisville city,Mississippi,6631,6631,6628,6556,6515,6421,6325
162,28,000,42440,00000,00000,0,A,Lucedale city,Mississippi,2923,2923,2930,2939,2985,2999,3016
162,28,000,42600,00000,00000,0,A,Lula town,Mississippi,298,298,298,295,293,287,283
162,28,000,42640,00000,00000,0,A,Lumberton city,Mississippi,2086,2080,2094,2126,2146,2177,2209
162,28,000,42960,00000,00000,0,A,Lyon town,Mississippi,350,350,350,347,344,338,333
162,28,000,42980,00000,00000,0,A,Maben town,Mississippi,871,877,878,877,881,876,877
162,28,000,43280,00000,00000,0,A,McComb city,Mississippi,12790,12790,12808,12868,12760,12709,12703
162,28,000,43400,00000,00000,0,A,McCool town,Mississippi,135,135,135,133,132,133,132
